2808	B	ATUCHA 
2812	B	CAPILLA DEL SEÑOR 
2813	B	ARROYO DE LA CRUZ 
2814	B	ALTO LOS CARDALES 
2820	E	COLONIA EL POTRERO 
2821	E	ARROYO DEL CURA 
2823	E	AERO CLUB CANAL 
2824	E	BRITOS 
2826	E	ALDEA SAN ANTONIO 
2828	E	COLONIA NUEVA MONTEVIDEO 
2840	E	ALBARDON 
2841	E	ALDEA ASUNCION 
2843	E	GENERAL GALARZA 
2845	E	COLONIA DUPORTAL 
2846	E	ANAHI 
2848	E	BERISSO 
2852	E	ALARCON 
2854	E	DOS HERMANAS 
2900	B	SAN NICOLAS DE LOS ARROYOS 
2903	B	EREZCANO 
2905	B	GENERAL ROJO 
2907	B	GENERAL CONESA 
2909	B	ESTANCIAS 
2912	B	LA QUERENCIA 
2914	B	COSTA BRAVA 
2915	B	AGUIRREZABALA 
2916	B	EL JUPITER 
2918	S	EMPALME VILLA CONSTITUCION 
2919	S	COPACABANA 
2921	S	GODOY 
2930	B	LA BUANA MOZA 
2931	B	ISLA LOS LAURELES 
2933	B	COLONIA VELEZ 
2935	B	ALGARROBO 
2938	B	ALSINA 
2942	B	BARADERO 
2943	B	IRENEO PORTELA 
2944	B	RIO TALA 
2946	B	EL ESPINILLO 
3000	S	BARRANQUITAS 
3001	S	ALTO VERDE 
3003	S	COLONIA LOS ZAPALLOS 
3005	S	COLONIA CALIFORNIA 
3007	S	EMPALME SAN CARLOS 
3009	S	EL TROPEZON 
3011	S	CAMPO MAGNIN 
3013	S	COLONIA MATILDE 
3014	S	ANGEL GALLARDO 
3016	S	SAN JOSE 
3017	S	BAJO LAS TUNAS 
3018	S	CANDIOTI 
3020	S	CAMPO SANTO DOMINGO 
3021	S	CAMPO ANDINO 
3023	S	CULULU 
3025	S	COLONIA CLARA 
3027	S	LA PELADA 
3029	S	COLONIA ADOLFO ALSINA 
3032	S	NELSON 
3036	S	AROMOS 
3038	S	CAYASTACITO 
3040	S	ASUNCION MARIA 
3041	S	CACIQUE ARIACAIQUIN 
3042	S	ABIPONES 
3044	S	GOBERNADOR CRESPO 
3045	S	CAMPO ZAVALLA 
3046	S	ARRASCAETA 
3048	S	ANGELONI 
3050	S	CALCHAQUI 
3051	S	ALEJANDRA 
3052	S	CAÑADITA 
3054	S	COLONIA LA NEGRA 
3056	S	CAMPO COUBERT 
3057	S	ESTANCIA LAS GAMAS 
3060	S	CAMPO SAN JOSE 
3061	S	ANTONIO PINI 
3066	S	CAMPO GARAY 
3070	S	DHO 
3071	S	AGUARA GRANDE 
3072	S	LA LUCILA 
3074	S	COLONIA EL SIMBOL 
3076	S	HUANQUEROS 
3080	S	COLONIA PUJOL 
3081	S	CAVOUR 
3083	S	GRUTLY 
3085	S	PILAR 
3087	S	FELICIA 
3100	E	AVENIDA EJERCITO PARANA 
3101	E	ALDEA BRASILERA 
3103	E	ALDEA SANTAFECINA 
3105	E	DIAMANTE 
3107	E	COLONIA AVELLANEDA 
3109	E	COLONIA CENTENARIO 
3111	E	ALMACEN CRISTIAN SCHUBERT 
3112	E	COLONIA LOMA NEGRA 
3113	E	COLONIA CELINA 
3114	E	ALDEA MARIA LUISA 
3116	E	ALDEA CHALECO 
3117	E	ALDEA SAN ANTONIO 
3118	E	CENTRO COMUNITARIO CNIA NUE 
3122	E	ARROYO CORRALITO 
3123	E	ALDEA SANTA MARIA 
3125	E	ANTONIO TOMAS 
3127	E	ALCETE 
3128	E	COLONIA BERRO 
3129	E	COLONIA HERNANDARIAS 
3132	E	EL PINGO 
3133	E	ARROYO BURGOS 
3134	E	ANTONIO TOMAS SUD 
3136	E	ALCARAZ NORTE 
3137	E	ALCARAZ SUD 
3138	E	ALCARAZ 2DO 
3142	E	ALCARACITO 
3144	E	ALCARAZ 1RO 
3150	E	ALGARROBITOS 1RO 
3151	E	ANTELO 
3153	E	KILMETRO 165 
3155	E	COSTA DEL NOGOYA 
3156	E	BETBEDER 
3158	E	20 DE SEPTIEMBRE 
3162	E	ARANGUREN 
3164	E	COLONIA RIVAS 
3170	E	ALBERTO GERCHUNOFF 
3172	E	KILOMETRO 208 
3174	E	ALTAMIRANO SUD 
3176	E	ESTACION SOLA 
3177	E	ALTAMIRANO NORTE 
3180	E	DIEGO LOPEZ 
3181	E	ARROYO MOREIRA 
3183	E	ALBARIÑO 
3185	E	COLONIA LA MARTA 
3187	E	ATENCIO 
3188	E	COLONIA FALCO 
3190	E	ARROYO HONDO 
3191	E	ARROYO CEIBO 
3192	E	COLONIA BERTOZZI 
3194	E	PASO TELEGRAFO 
3196	W	ARROYO VEGA 
3197	W	ABRA GUAZU 
3199	W	LOS LAURELES 
3200	E	COLONIA LOS SAUCES 
3201	E	CAMBA PASO 
3203	E	ARROYO GRANDE 
3204	E	AYUI PARADA 
3206	E	BELLA UNION PARAJE 
3208	E	COLONIA ENSANCHE SAUCE 
3212	E	ARROYO EL MOCHO 
3214	E	ESTACION YERUA 
3216	E	ARROYO HONDO 
3218	E	ARROYO PALMAR 
3220	W	ARROYO MANGANGA 
3222	W	BUEN RETIRO 
3224	E	LA BLANQUEADA 
3226	W	BUENA VISTA 
3228	E	CABI MONDA 
3229	E	COLONIA FREITAS 
3230	W	ARBOL SOLO 
3231	W	COLONIA AROCENA INA 
3232	W	CABRED 
3234	W	BONPLAND 
3240	E	COLONIA EGIDO 
3241	E	CAMPO DE VILLAMIL 
3244	E	COLONIA BELGA AMERICANA 
3246	E	ACHIRAS 
3248	E	CARAGUATA 
3252	E	ALDEA SAN JORGE 
3254	E	COLONIA LA BLANQUITA 
3260	E	ARROYO MOLINO 
3261	E	CENTELLA 
3262	E	CASEROS 
3263	E	1 DE MAYO 
3265	E	ARROYO CARABALLO 
3267	E	CAÑADA DE LAS OVEJAS 
3269	E	ARROYO BARU 
3272	E	COLONIA 1 DE MAYO 
3280	E	ARROYO URQUIZA 
3281	E	CALERA 
3283	E	COLONIA MABRAGAÑA 
3285	E	BERDUC 
3287	E	ALDEA SAN GREGORIO 
3300	N	ARROYO 
3302	W	AGUARA CUA 
3304	N	BARRIO DON SANTIAGO 
3306	N	CENTINELA 
3308	N	CANDELARIA 
3309	N	ARROYO TOMAS 
3311	N	ARROYO ISABEL 
3313	N	ARROYO DEL MEDIO 
3315	N	CAA YARI 
3316	N	ARROYO PASTORA 
3317	N	ARROYO MAGDALENA 
3318	N	BONPLAND NORTE 
3322	N	APARICIO CUE 
3324	N	GOBERNADOR ROCA 
3326	N	COLONIA LEIVA 
3327	N	COLONIA ROCA 
3328	N	COLONIA JAPONESA 
3332	N	CAPIOVI 
3334	N	3 DE MAYO 
3337	N	ADOLFO J POMAR 
3338	N	17 DE AGOSTO 
3340	W	BOQUERON 
3342	W	AGUAPEY 
3344	W	2 DE JULIO 
3346	W	BACACAY 
3350	N	APOSTOLES 
3351	N	AZARA 
3353	N	ARROYO SANTA MARIA 
3355	N	ARRECHEA 
3357	N	BARRA BONITA 
3358	N	CHEROGUITA 
3360	N	ARROYO FEDOR 
3361	N	ACARAGUA 
3362	N	1 DE MAYO 
3363	N	25 DE MAYO 
3364	N	2 DE MAYO 
3366	N	ALMIRANTE BROWN 
3370	N	PLANCHADA BANDERITA 
3371	N	CABURE 
3372	N	CATARATAS DEL IGUAZU 
3374	N	EL PORVENIR 
3376	N	GOBERNADOR LANUSSE 
3378	N	22 DE DICIEMBRE 
3380	N	9 DE JULIO KILOMETRO 20 
3381	N	MARIA MAGDALENA 
3382	N	COLONIA CUNCI 
3384	N	BARRANCON 
3386	N	CARAGUATAY 
3400	W	BAÑADO NORTE 
3401	W	ARROYO PELON 
3403	W	AGUIRRE CUE 
3405	W	ALGARROBAL PUISOYE 
3407	W	AGUAY 
3409	W	ARROYO SAN JUAN 
3412	W	ALBARDON 
3414	W	ABRA 
3416	W	ARROYO CEIBAL 
3418	W	BARTOLOME MITRE 
3420	W	ACUÑA CUE 
3421	W	BAJO GUAZU 
3423	W	ARAÑITA 
3425	W	COSTA GRANDE 
3427	W	ABRA 
3428	W	ESTACION SALADAS 
3432	W	BELLA VISTA 
3433	W	CARRIZAL NORTE 
3440	W	BARRIO VILLA CORDOBA 
3441	W	ALGARROBO 
3443	W	COLONIA MENDEZ BAR 
3445	W	9 DE JULIO 
3446	W	KILOMETRO 374 
3448	W	ALAMO 
3449	W	BOLICHE LATA 
3450	W	8 DE DICIEMBRE 
3451	W	BATELITO 
3453	W	IFRAN 
3454	W	BAÑADO SAN ANTONIO 
3460	W	ARROYO CASTILLO 
3461	W	ABO NEZU 
3463	W	ARISTIA 
3465	W	ARROYO CASCO 
3466	W	ABALO 
3470	W	ARROYO GRANDE 
3471	W	ALEN CUE 
3472	W	CAAGUAZU 
3474	W	CHAVARRIA 
3476	W	EL REMANSO 
3480	W	ALGARROBAL 
3481	W	ANGOSTURA 
3483	W	ARROYO BALMACEDA 
3485	W	CARANDAITI 
3486	W	VILLA OLIVARI 
