A	EL MOLLE	16141	9
A	EL MORANILLO	5105	9
A	EL MOYAR	5110	9
A	EL NARANJO	16149	9
A	EL NARANJO	20570	9
A	EL NARANJO	20644	9
A	EL NATO	5524	9
A	EL NOGALAR	5127	9
A	EL OBELISCO	5134	9
A	EL OJITO	5139	9
A	EL OJO	5140	9
A	EL OSO	5151	9
A	EL PACARA	5154	9
A	EL PARQUE	16186	9
A	EL PERICOTE	5212	9
A	EL PERTIGO	16193	9
A	EL PORTEZUELO	16204	9
A	EL PORVENIR	16220	9
A	EL PORVENIR	20599	9
A	EL POTRERO	16230	9
A	EL POTRERO	20571	9
A	EL POTRERO	20600	9
A	EL POTRERO	20650	9
A	EL POTRERO DE DIAZ	5270	9
A	EL PRADO	16237	9
A	EL PRADO	20736	9
A	EL PUCARA	16242	9
A	EL PUESTITO	16252	9
A	EL PUYIL	5290	9
A	EL QUEBRACHAL	16266	9
A	EL QUEMADO	16277	9
A	EL QUEMADO	20572	9
A	EL QUEMADO	20686	9
A	EL QUIMILAR CARBONCITO	5300	9
A	EL RECREO	16284	9
A	EL RETIRO	16302	9
A	EL REY	5328	9
A	EL RODEO	16315	9
A	EL RODEO	20651	9
A	EL ROSAL	5340	9
A	EL SALTO	16342	9
A	EL SAPO	5355	9
A	EL SAUCE	16355	9
A	EL SAUZAL	16359	9
A	EL SIMBOLAR	16368	9
A	EL SIMBOLAR	20729	9
A	EL SOLDADITO	5380	9
A	EL SUNCHAL	16375	9
A	EL SUNCHAL	20645	9
A	EL SUNCHAL	20700	9
A	EL TABACAL	5392	9
A	EL TALA EST R DE LOS LLANOS	5398	9
A	EL TALAR	16388	9
A	EL TANDIL	5407	9
A	EL TAPIAL	5409	9
A	EL TARTAGAL	16392	9
A	EL TIMBO	5420	9
A	EL TIPAL	16399	9
A	EL TORO	16401	9
A	EL TRIGAL	5451	9
A	EL TUNAL	5458	9
A	ELTUNAL	5533	9
A	EL TUNALITO	5459	9
A	EL VALLECITO	16428	9
A	EL VENCIDO	5484	9
A	EL YACON	5503	9
A	EL YESO	5505	9
A	EL ZANJON	16438	9
A	EL ZAPALLAR	16443	9
A	EL ZAPALLAR	20701	9
A	EL ZAPALLO	5513	9
A	EMBARCACION	5541	9
A	EMBOSCADA	5543	9
A	ENCRUCIJADA	16450	9
A	ENCRUCIJADA DE TASTIL	5577	9
A	ENTRE RIOS	16458	9
A	ESCALCHI	5607	9
A	ESCOIPE	5611	9
A	ESPINILLO	16470	9
A	ESQUINA	16475	9
A	ESQUINA	20679	9
A	ESTACION CACHINAL	5689	9
A	ESTACION ZUVIRIA	5738	9
A	ESTANCIA VIEJA	16498	9
A	ESTEBAN DE URIZAR	5996	9
A	ESTECO EMBARCADERO FCGB	6000	9
A	ESTELA	16502	9
A	ESTOLA	21680	9
A	FEDERACION	16507	9
A	FINCA ARMONIA	6114	9
A	FINCA BELGRANO	6115	9
A	FINCA CAMINO A COLON	6116	9
A	FINCA CAMINO VALLISIOS	6117	9
A	FINCA COLON	6118	9
A	FINCA EL CARMEN	20657	9
A	FINCA EL CARMEN	6123	9
A	FINCA EL COLEGIO	6125	9
A	FINCA LA CHINA	6130	9
A	FINCA LA ROSA	6133	9
A	FINCA LA TOMA	6134	9
A	FINCA MISION ZENTA	20687	9
A	FINCA MISION ZENTA	6141	9
A	FINCA ROCCA	6145	9
A	FINCA SANTIAGO	6148	9
A	FLORESTA	16518	9
A	FOGUISTA J F JUAREZ	6178	9
A	FORTIN BELGRANO	6191	9
A	FORTIN FRIAS	6203	9
A	FRONTERA 4	6270	9
A	FRONTERA 5	6271	9
A	FRONTERA TRES	6273	9
A	FUERTE ALTO	6279	9
A	FUERTE EL PITO	6282	9
A	FUERTE QUEMADO	16533	9
A	GALLINATO	6303	9
A	GAONA	6314	9
A	GENERAL ALVARADO	16536	9
A	GENERAL BALLIVIAN	6359	9
A	GENERAL ENRIQUE MOSCONI	6369	9
A	GENERAL GUEMES	6375	9
A	GENERAL PIZARRO	6405	9
A	GOBERNADOR MANUEL SOLA	6466	9
A	GOBERNADOR SARAVIA	6476	9
A	GONZALEZ	16549	9
A	GRANDES PASTOS	6534	9
A	GUACHIPAS	6554	9
A	GUALFIN	6568	9
A	GUALIANA	6569	9
A	GUAMACHI	6574	9
A	HICKMAN	6703	9
A	HIGUERAS	6707	9
A	HIPOLITO YRIGOYEN	16566	9
A	HITO 1	6726	9
A	HOMBRE MUERTO SALAR DE	6736	9
A	HORCONES	6739	9
A	HORNILLOS	16569	9
A	HOSTERIA JURAMENTO	6755	9
A	HUAICONDO	6774	9
A	HUAYRA HUASY	6810	9
A	HUERTA	6821	9
A	HUGUERILLAS	6830	9
A	HUMAITA	6840	9
A	HUMANAS	6843	9
